timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,altitude,activity,delta_time,accelX_rate_of_change,accelY_rate_of_change,accelZ_rate_of_change,gyroX_rate_of_change,gyroY_rate_of_change,gyroZ_rate_of_change,altitude_rate_of_change
180994,-0.13,-0.13,-0.12,-34.63,-34.91,-35.18,211.09,Stairs,2509.0,1.1956954962136309e-05,1.1956954962136309e-05,1.992825827022719e-05,-0.0421721801514547,-0.0424392188122758,-0.0425986448784376,3.985651654041811e-06
183503,-0.42,-0.42,-0.42,101.11,101.18,101.17,211.33,Stairs,2509.0,-0.0001155838979673,-0.0001155838979673,-0.0001195695496213,0.0541012355520127,0.0542407333599043,0.0543443603029095,9.56556396970941e-05
186012,-0.34,-0.34,-0.34,20.58,20.65,20.73,211.61,Stairs,2509.0,3.188521323236348e-05,3.188521323236348e-05,3.188521323236348e-05,-0.0320964527700279,-0.0320964527700279,-0.0320605819051414,0.0001115982463132
188521,-0.13,-0.13,-0.13,-58.1,-57.72,-57.32,212.02,Stairs,2509.0,8.369868473495417e-05,8.369868473495417e-05,8.369868473495417e-05,-0.0313591072140295,-0.031235552012754,-0.0311080111598246,0.0001634117178158
191030,-0.4,-0.39,-0.39,63.2,63.21,63.21,212.39,Stairs,2509.0,-0.0001076125946592,-0.0001036269430051,-0.0001036269430051,0.0483459545635711,0.0481984854523714,0.0480390593862096,0.0001474691111996
193539,-0.25,-0.25,-0.25,-93.42,-93.72,-93.97,212.85,Stairs,2509.0,5.978477481068155e-05,5.579912315663611e-05,5.579912315663611e-05,-0.0624232762056596,-0.062546831406935,-0.0626464726982861,0.000183339976086
196048,-0.18,-0.18,-0.18,11.06,11.4,11.78,213.41,Stairs,2509.0,2.7899561578318056e-05,2.7899561578318056e-05,2.7899561578318056e-05,0.0416420884814667,0.0418971701873256,0.0421482662415304,0.0002231964926265
198557,-0.37,-0.36,-0.36,96.6,94.61,92.87,213.91,Stairs,2509.0,-7.57273814268633e-05,-7.174172977281785e-05,-7.174172977281785e-05,0.0340932642487046,0.033164607413312,0.0323196492626544,0.0001992825827022
201066,-0.45,-0.45,-0.45,69.24,67.95,66.81,214.12,Stairs,2509.0,-3.18852132323635e-05,-3.587086488640894e-05,-3.587086488640894e-05,-0.0109047429254683,-0.0106257473096851,-0.0103866082104424,8.369868473495733e-05
203575,-0.03,-0.03,-0.04,-13.66,-14.15,-14.58,214.08,Stairs,2509.0,0.0001673973694699,0.0001673973694699,0.0001634117178158,-0.0330410522120366,-0.032722200079713,-0.0324392188122758,-1.5942606616178575e-05
206084,-0.13,-0.13,-0.13,-88.85,-88.56,-88.34,213.85,Stairs,2509.0,-3.985651654045436e-05,-3.985651654045436e-05,-3.5870864886408924e-05,-0.0299681147867676,-0.029657233957752,-0.0293981666002391,-9.166998804305227e-05
208593,-0.12,-0.12,-0.12,-7.51,-7.36,-7.25,213.51,Stairs,2509.0,3.98565165404544e-06,3.98565165404544e-06,3.98565165404544e-06,0.0324192905540055,0.0323634914308489,0.0323196492626544,-0.0001355121562375
211102,-0.16,-0.16,-0.16,-41.7,-42.44,-42.97,213.05,Stairs,2509.0,-1.594260661618175e-05,-1.594260661618175e-05,-1.594260661618175e-05,-0.0136269430051813,-0.0139816660023913,-0.0142367477082502,-0.000183339976086
213611,-0.11,-0.1,-0.1,-4.27,-3.78,-3.28,212.45,Stairs,2509.0,1.9928258270227185e-05,2.3913909924272617e-05,2.3913909924272617e-05,0.014918294141092,0.0154085292945396,0.0158190514149063,-0.0002391390992427
216120,-0.09,-0.1,-0.1,-39.08,-39.04,-39.03,211.8,Stairs,2509.0,7.971303308090875e-06,0.0,0.0,-0.0138740534077321,-0.0140534077321642,-0.0142487046632124,-0.0002590673575129
218629,-0.01,-0.01,-0.01,3.82,3.78,3.88,211.19,Stairs,2509.0,3.188521323236349e-05,3.587086488640893e-05,3.587086488640893e-05,0.0170984455958549,0.0170665603826225,0.0171024312475089,-0.0002431247508967
221138,-0.25,-0.25,-0.25,-137.24,-137.36,-137.55,210.84,Stairs,2509.0,-9.565563969709048e-05,-9.565563969709048e-05,-9.565563969709048e-05,-0.0562216022319649,-0.0562534874451972,-0.0563690713431646,-0.0001394978078915
223647,0.12,0.12,0.12,-22.42,-22.58,-22.66,210.81,Stairs,2509.0,0.0001474691111996,0.0001474691111996,0.0001474691111996,0.0457632522917497,0.0457473096851335,0.045791151853328,-1.1956954962136764e-05
226156,0.22,0.22,0.21,69.53,69.73,70.01,210.9,Stairs,2509.0,3.985651654045436e-05,3.985651654045436e-05,3.5870864886408924e-05,0.0366480669589477,0.0367915504184934,0.036935033878039,3.5870864886410286e-05
