timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,altitude,activity,delta_time,accelX_rate_of_change,accelY_rate_of_change,accelZ_rate_of_change,gyroX_rate_of_change,gyroY_rate_of_change,gyroZ_rate_of_change,altitude_rate_of_change
198557,-0.37,-0.36,-0.36,96.6,94.61,92.87,213.91,Stairs,2509.0,-7.57273814268633e-05,-7.174172977281785e-05,-7.174172977281785e-05,0.03409326424870466,0.03316460741331207,0.032319649262654446,0.00019928258270227183
201066,-0.45,-0.45,-0.45,69.24,67.95,66.81,214.12,Stairs,2509.0,-3.18852132323635e-05,-3.587086488640894e-05,-3.587086488640894e-05,-0.010904742925468313,-0.010625747309685131,-0.010386608210442409,8.369868473495733e-05
203575,-0.03,-0.03,-0.04,-13.66,-14.15,-14.58,214.08,Stairs,2509.0,0.00016739736946990835,0.00016739736946990835,0.0001634117178158629,-0.03304105221203667,-0.032722200079713035,-0.03243921881227581,-1.5942606616178575e-05
206084,-0.13,-0.13,-0.13,-88.85,-88.56,-88.34,213.85,Stairs,2509.0,-3.9856516540454363e-05,-3.9856516540454363e-05,-3.5870864886408924e-05,-0.029968114786767634,-0.02965723395775209,-0.02939816660023914,-9.166998804305229e-05
208593,-0.12,-0.12,-0.12,-7.51,-7.36,-7.25,213.51,Stairs,2509.0,3.98565165404544e-06,3.98565165404544e-06,3.98565165404544e-06,0.032419290554005574,0.03236349143084895,0.032319649262654446,-0.0001355121562375462
211102,-0.16,-0.16,-0.16,-41.7,-42.44,-42.97,213.05,Stairs,2509.0,-1.594260661618175e-05,-1.594260661618175e-05,-1.594260661618175e-05,-0.01362694300518135,-0.013981666002391391,-0.014236747708250298,-0.00018333997608608192
213611,-0.11,-0.1,-0.1,-4.27,-3.78,-3.28,212.45,Stairs,2509.0,1.9928258270227182e-05,2.3913909924272617e-05,2.3913909924272617e-05,0.01491829414109207,0.015408529294539655,0.015819051414906336,-0.00023913909924273526
216120,-0.09,-0.1,-0.1,-39.08,-39.04,-39.03,211.8,Stairs,2509.0,7.971303308090875e-06,0.0,0.0,-0.013874053407732165,-0.014053407732164208,-0.014248704663212436,-0.0002590673575129443
218629,-0.01,-0.01,-0.01,3.82,3.78,3.88,211.19,Stairs,2509.0,3.188521323236349e-05,3.587086488640893e-05,3.587086488640893e-05,0.01709844559585492,0.01706656038262256,0.01710243124750897,-0.00024312475089677705
221138,-0.25,-0.25,-0.25,-137.24,-137.36,-137.55,210.84,Stairs,2509.0,-9.565563969709047e-05,-9.565563969709047e-05,-9.565563969709047e-05,-0.05622160223196493,-0.056253487445197294,-0.05636907134316461,-0.000139497807891588
223647,0.12,0.12,0.12,-22.42,-22.58,-22.66,210.81,Stairs,2509.0,0.00014746911119968114,0.00014746911119968114,0.00014746911119968114,0.045763252291749705,0.045747309685133526,0.04579115185332803,-1.1956954962136763e-05
226156,0.22,0.22,0.21,69.53,69.73,70.01,210.9,Stairs,2509.0,3.9856516540454363e-05,3.9856516540454363e-05,3.5870864886408924e-05,0.03664806695894779,0.03679155041849343,0.03693503387803906,3.5870864886410286e-05
228665,-0.02,-0.02,-0.02,-24.76,-25.08,-25.44,211.15,Stairs,2509.0,-9.565563969709047e-05,-9.565563969709047e-05,-9.166998804304504e-05,-0.037580709445994426,-0.037787963332004786,-0.03804304503786369,9.964129135113592e-05
231174,0.0,-0.0,-0.0,-2.26,-1.85,-1.4,211.52,Stairs,2509.0,7.971303308090873e-06,7.971303308090873e-06,7.971303308090873e-06,0.008967716221602232,0.009258668792347548,0.00958150657632523,0.00014746911119968296
233683,-0.03,-0.03,-0.03,-1.71,-2.04,-2.27,212.1,Stairs,2509.0,-1.1956954962136309e-05,-1.1956954962136309e-05,-1.1956954962136309e-05,0.00021921084097249892,-7.572738142686327e-05,-0.000346751693901953,0.00023116779593462897
236192,-0.02,-0.02,-0.02,-40.64,-41.02,-41.15,212.55,Stairs,2509.0,3.985651654045436e-06,3.985651654045436e-06,3.985651654045436e-06,-0.015516141889198884,-0.015536070147469112,-0.015496213630928655,0.00017935432443205143
238701,-0.1,-0.1,-0.1,-12.3,-12.7,-13.15,213.18,Stairs,2509.0,-3.188521323236349e-05,-3.188521323236349e-05,-3.188521323236349e-05,0.011295336787564766,0.011287365484256677,0.011159824631327222,0.0002510960542048607
243719,0.06,0.06,0.06,1.89,2.37,2.92,213.83,Stairs,5018.0,3.188521323236349e-05,3.188521323236349e-05,3.188521323236349e-05,0.002827819848545237,0.0030031885213232363,0.0032024711040255084,0.00012953367875647782
246228,-0.0,-0.0,-0.0,-75.98,-75.65,-75.35,213.9,Stairs,2509.0,-2.3913909924272617e-05,-2.3913909924272617e-05,-2.3913909924272617e-05,-0.031036269430051815,-0.0310960542048625,-0.031195695496213628,2.7899561578315336e-05
248737,-0.08,-0.07,-0.07,26.4,26.53,26.67,213.7,Stairs,2509.0,-3.188521323236349e-05,-2.7899561578318056e-05,-2.7899561578318056e-05,0.04080510163411718,0.04072538860103627,0.04066161817457154,-7.971303308091553e-05
251246,0.4,0.41,0.41,-33.7,-34.31,-34.92,213.34,Stairs,2509.0,0.00019131127939418097,0.00019131127939418094,0.00019131127939418094,-0.023953766440813075,-0.024248704663212436,-0.024547628537265845,-0.00014348345954562982
253755,-0.02,-0.02,-0.02,-24.26,-24.56,-24.89,212.71,Stairs,2509.0,-0.00016739736946990835,-0.00017138302112395376,-0.00017138302112395376,0.0037624551614188926,0.0038860103626943017,0.003997608609007573,-0.0002510960542048607
256264,-0.17,-0.18,-0.18,72.27,71.15,70.12,212.0,Stairs,2509.0,-5.978477481068155e-05,-6.377042646472698e-05,-6.377042646472698e-05,0.0384734954165006,0.03814667198086887,0.037867676365085694,-0.0002829812674372292
258773,-0.12,-0.13,-0.12,-45.87,-45.63,-45.41,211.33,Stairs,2509.0,1.992825827022719e-05,1.992825827022718e-05,2.3913909924272617e-05,-0.04708648864089278,-0.04654444001594261,-0.046046233559186925,-0.00026703866082103926
261282,0.02,0.02,0.02,4.33,4.21,4.05,210.89,Stairs,2509.0,5.5799123156636106e-05,5.9784774810681545e-05,5.5799123156636106e-05,0.02000797130330809,0.019864487843762456,0.019713033080908725,-0.00017536867277800962
263791,-0.12,-0.12,-0.12,-14.76,-14.63,-14.53,210.79,Stairs,2509.0,-5.5799123156636106e-05,-5.5799123156636106e-05,-5.5799123156636106e-05,-0.007608609007572738,-0.007508967716221602,-0.00740534077321642,-3.98565165404521e-05
266300,-0.13,-0.12,-0.13,19.67,19.37,19.02,210.89,Stairs,2509.0,-3.98565165404544e-06,0.0,-3.98565165404544e-06,0.013722598644878438,0.013551215623754484,0.013371861299322439,3.98565165404521e-05
268809,0.0,0.0,0.01,15.44,15.27,15.17,211.15,Stairs,2509.0,5.1813471502590674e-05,4.7827819848545235e-05,5.579912315663611e-05,-0.0016859306496612204,-0.0016341171781586296,-0.0015344758868074929,0.00010362694300518905
271318,-0.11,-0.11,-0.11,-51.95,-51.61,-51.31,211.46,Stairs,2509.0,-4.38421681944998e-05,-4.38421681944998e-05,-4.7827819848545235e-05,-0.026859306496612195,-0.026656038262255877,-0.026496612196094064,0.00012355520127540944
273827,-0.2,-0.2,-0.2,48.25,48.63,49.08,211.83,Stairs,2509.0,-3.587086488640893e-05,-3.587086488640893e-05,-3.587086488640893e-05,0.03993622957353527,0.03995217218015146,0.04001195695496214,0.00014746911119968296
276336,-0.07,-0.06,-0.06,-65.86,-65.75,-65.6,212.26,Stairs,2509.0,5.1813471502590674e-05,5.579912315663611e-05,5.579912315663611e-05,-0.04548027102431248,-0.0455878836189717,-0.045707453168593065,0.00017138302112394514
278845,-0.07,-0.07,-0.07,32.53,32.13,31.72,212.77,Stairs,2509.0,0.0,-3.98565165404544e-06,-3.98565165404544e-06,0.03921482662415305,0.03901155838979673,0.038788361897170186,0.00020326823435632495
281354,0.02,0.02,0.02,-9.69,-9.52,-9.37,213.36,Stairs,2509.0,3.587086488640893e-05,3.587086488640893e-05,3.587086488640893e-05,-0.016827421283379832,-0.016600239139099245,-0.016377042646472696,0.00023515344758868212
283863,-0.12,-0.12,-0.12,-42.33,-42.38,-42.41,213.71,Stairs,2509.0,-5.5799123156636106e-05,-5.5799123156636106e-05,-5.5799123156636106e-05,-0.013009166998804304,-0.013096851335193303,-0.013168593064966122,0.000139497807891588
286372,-0.17,-0.17,-0.17,-40.92,-41.18,-41.64,213.75,Stairs,2509.0,-1.992825827022719e-05,-1.992825827022719e-05,-1.992825827022719e-05,0.0005619768832204052,0.0004782781984854535,0.000306895177361497,1.5942606616178575e-05
288880,-0.28,-0.28,-0.28,-55.51,-55.87,-56.15,213.54,Stairs,2508.0,-4.385964912280702e-05,-4.385964912280702e-05,-4.385964912280702e-05,-0.005817384370015948,-0.005857256778309409,-0.005785486443381179,-8.373205741627111e-05
291389,-0.08,-0.08,-0.08,-7.37,-7.61,-7.73,213.19,Stairs,2509.0,7.971303308090873e-05,7.971303308090873e-05,7.971303308090873e-05,0.01918692706257473,0.019234754882423277,0.019298525308888002,-0.000139497807891588
293898,-0.12,-0.13,-0.13,-38.77,-38.85,-38.82,212.66,Stairs,2509.0,-1.5942606616181743e-05,-1.9928258270227182e-05,-1.9928258270227182e-05,-0.012514946193702671,-0.012451175767237943,-0.012391390992427262,-0.00021123953766440858
296407,-0.26,-0.27,-0.27,157.56,158.58,159.56,212.05,Stairs,2509.0,-5.579912315663611e-05,-5.579912315663611e-05,-5.579912315663611e-05,0.07825029892387406,0.07868872060581905,0.07906735751295337,-0.00024312475089676574
298916,-0.31,-0.31,-0.3,102.52,102.4,102.27,211.38,Stairs,2509.0,-1.992825827022718e-05,-1.594260661618174e-05,-1.1956954962136299e-05,-0.021937026703866085,-0.022391390992427266,-0.02283379832602631,-0.0002670386608210506
301425,-0.31,-0.3,-0.3,-70.11,-70.57,-71.01,210.74,Stairs,2509.0,0.0,3.98565165404544e-06,0.0,-0.06880430450378637,-0.06893981666002391,-0.06906337186129932,-0.0002550817058589025
303934,-0.08,-0.08,-0.08,-28.16,-28.15,-28.18,210.52,Stairs,2509.0,9.166998804304504e-05,8.768433638899959e-05,8.768433638899959e-05,0.016719808688720608,0.01690713431646074,0.017070546034276605,-8.768433638899914e-05
306443,-0.12,-0.13,-0.12,35.28,35.05,34.94,210.54,Stairs,2509.0,-1.5942606616181743e-05,-1.9928258270227182e-05,-1.5942606616181743e-05,0.02528497409326425,0.025189318453567158,0.025157433240334794,7.971303308083622e-06
308952,-0.09,-0.08,-0.08,-19.94,-19.41,-19.06,210.74,Stairs,2509.0,1.1956954962136309e-05,1.9928258270227182e-05,1.5942606616181743e-05,-0.0220087684336389,-0.021705858907931443,-0.021522518931845355,7.971303308091553e-05
311461,-0.13,-0.12,-0.12,74.11,73.82,73.66,211.05,Stairs,2509.0,-1.594260661618175e-05,-1.5942606616181743e-05,-1.5942606616181743e-05,0.03748505380629733,0.0371582303706656,0.036954962136309284,0.00012355520127540944
313970,-0.12,-0.13,-0.12,-74.95,-74.85,-74.79,211.3,Stairs,2509.0,3.98565165404544e-06,-3.98565165404544e-06,0.0,-0.059410123555201276,-0.0592546831406935,-0.059166998804304496,9.964129135113592e-05
316479,-0.17,-0.17,-0.16,50.95,51.19,51.34,211.82,Stairs,2509.0,-1.992825827022719e-05,-1.594260661618175e-05,-1.594260661618175e-05,0.050179354324432046,0.05023515344758868,0.05027102431247509,0.00020725388601035543
318988,0.01,0.01,0.0,-36.65,-36.95,-37.15,212.24,Stairs,2509.0,7.174172977281786e-05,7.174172977281786e-05,6.377042646472698e-05,-0.03491430848943802,-0.03512953367875648,-0.03526903148664807,0.00016739736946991466
321497,-0.11,-0.11,-0.11,57.43,58.11,58.53,212.73,Stairs,2509.0,-4.7827819848545235e-05,-4.7827819848545235e-05,-4.38421681944998e-05,0.03749701076125946,0.03788760462335592,0.03813471502590674,0.0001952969310482187
324006,-0.18,-0.18,-0.18,55.75,55.94,56.13,213.28,Stairs,2509.0,-2.7899561578318053e-05,-2.7899561578318053e-05,-2.7899561578318053e-05,-0.0006695894778796332,-0.0008648864089278604,-0.0009565563969709042,0.00021921084097250353
326515,-0.11,-0.1,-0.1,-3.52,-3.72,-3.94,213.53,Stairs,2509.0,2.7899561578318053e-05,3.1885213232363485e-05,3.1885213232363485e-05,-0.023622957353527305,-0.023778397768035073,-0.023941809485850937,9.964129135113592e-05
329024,-0.13,-0.12,-0.12,-72.17,-71.96,-71.73,213.57,Stairs,2509.0,-7.971303308090875e-06,-7.97130330809087e-06,-7.97130330809087e-06,-0.027361498605021923,-0.027198086887206055,-0.027018732562774015,1.5942606616178575e-05
331533,-0.16,-0.16,-0.16,-32.28,-31.91,-31.53,213.43,Stairs,2509.0,-1.1956954962136309e-05,-1.594260661618175e-05,-1.594260661618175e-05,0.015898764447987247,0.015962534874451973,0.016022319649262654,-5.579912315663067e-05
